"sort.color_names_rgb..1.."
"Bahia (179,183,27)"
"Black (0,0,0)"
"Black (10,10,10)"
"Black Pearl (29,33,41)"
"Charcoal (67,67,67)"
"Chocolate (228,104,16)"
"Chocolate (233,93,20)"
"Cinnabar (231,93,38)"
"Citron (152,154,38)"
"Danube (85,142,190)"
"Denim (17,85,204)"
"Dim Gray (97,97,97)"
"Eastern Blue (0,136,168)"
"Eclipse (55,55,55)"
"Eclipse (57,57,57)"
"Falu Red (148,45,27)"
"Gamboge (228,134,9)"
"Grey (127,127,127)"
"Mandarin Orange (146,46,33)"
"Mariner (56,88,152)"
"Mortar (85,85,85)"
"Mortar (89,89,89)"
"Nero (34,34,34)"
"Orange Peel (255,150,0)"
"Orange Peel (255,151,9)"
"Slate Blue (102,94,208)"
"Tangerine (238,135,2)"
"Tangerine (242,124,0)"
"Tangerine (242,136,0)"
"Tangerine (248,118,0)"
"Teal (0,109,131)"
"Tenne (206,86,0)"
"Tyrian Purple (13,0,0)"
"White (255,255,255)"
