"date","address","link_num","words_in_link","is_image","image_width","bolded","font_size","font_color","dup","dup_after_first","image_assoc","link_char_flag","date_sent","clicks","link_click_flag","string","doc_prop","html_flag","color_name","color_name_rgb"
"01/02/19","https://activategood.org/",1,"",TRUE,450,FALSE,NA,NA,TRUE,FALSE,TRUE,1,"01/02/19 07:03:48",7,1,NA,NA,NA,NA,"NA NA"
"01/02/19","https://activategood.org/",2,"",TRUE,570,FALSE,NA,NA,TRUE,TRUE,TRUE,1,"01/02/19 07:03:48",7,1,NA,NA,NA,NA,"NA NA"
"01/02/19","https://activategood.org/",13,"Activate Good",FALSE,NA,FALSE,21,"(89,89,89)",TRUE,TRUE,TRUE,1,"01/02/19 07:03:48",7,1,"Activate Good",0.760330578512397,1,"Mortar","Mortar (89,89,89)"
"01/02/19","https://activategood.org/donate",14,"Support our work and help our impact grow",FALSE,NA,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",1,1,"Support",0.809917355371901,1,"White","White (255,255,255)"
"01/02/19","https://activategood.org/opportunity",3,"activategood.org",FALSE,NA,TRUE,24,"(0,136,168)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",41,1,NA,NA,NA,"Eastern Blue","Eastern Blue (0,136,168)"
"01/02/19","https://activategood.org/opportunity/3963#tab-what",9,"Free Food Fridays at Salvation Army",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",21,1,"Free Food Fridays Salvation Army",0.495867768595041,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/3985#tab-what",10,"First Friday Fun at ArtSpace",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",37,1,"First Friday Fun ArtSpace",0.586776859504132,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/4054#tab-what",6,"Use your Legal Knowledge for Good",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",4,1,"Use Legal Knowledge Good",0.289256198347107,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/4249",5,"Basketball and Tennis Instructors",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",12,1,"Basketball Tennis Instructors",0.231404958677686,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/4291#tab-what",4,"Grant Writer and Researcher",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",22,1,"Grant Writer Researcher",0.173553719008264,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/4304#tab-what",12,"Deliver Grocery Bags to Seniors in Durham",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",25,1,"Deliver Grocery Bags Seniors Durham",0.702479338842975,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/4313#tab-what",7,"Miracle League of the Triangle",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",10,1,"Miracle League Triangle",0.380165289256198,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/4315#tab-what",8,"NC Therapeutic Riding Center",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",33,1,"NC Therapeutic Riding Center",0.43801652892562,1,"Teal","Teal (0,109,131)"
"01/02/19","https://activategood.org/opportunity/432#tab-what",11,"Distribute firewood with Warmth for Wake",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/02/19 07:03:48",22,1,"Distribute Warmth Wake",0.644628099173554,1,"Teal","Teal (0,109,131)"
"01/02/19","https://twitter.com/activategood",16,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"01/02/19 07:03:48",1,1,NA,NA,NA,NA,"NA NA"
"01/02/19","https://www.facebook.com/activategood/",15,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"01/02/19 07:03:48",1,1,NA,NA,NA,NA,"NA NA"
"01/02/19","https://www.instagram.com/activategood/",17,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"01/02/19 07:03:48",1,1,NA,NA,NA,NA,"NA NA"
"01/03/20","https://activategood.org/",1,"",TRUE,450,FALSE,NA,NA,TRUE,FALSE,TRUE,1,"01/03/20 07:50:15",23,1,NA,NA,NA,NA,"NA NA"
"01/03/20","https://activategood.org/",21,"Activate Good",FALSE,NA,FALSE,21,"(89,89,89)",TRUE,TRUE,TRUE,1,"01/03/20 07:50:15",23,1,"Activate Good",0.746478873239437,1,"Mortar","Mortar (89,89,89)"
