"date","link_num","words_in_link","bolded","font_size","font_color","address"
"01/02/19",1,"",FALSE,NA,NA,"https://activategood.org/"
"01/02/19",2,"",FALSE,NA,NA,"https://activategood.org/"
"01/02/19",3,"activategood.org",TRUE,NA,NA,"https://activategood.org/opportunity"
"01/02/19",4,"Grant Writer and Researcher",TRUE,NA,NA,"https://activategood.org/opportunity/4291#tab-what"
"01/02/19",5,"Basketball and Tennis Instructors",TRUE,NA,NA,"https://activategood.org/opportunity/4249"
"01/02/19",6,"Use your Legal Knowledge for Good",TRUE,NA,NA,"https://activategood.org/opportunity/4054#tab-what"
"01/02/19",7,"Miracle League of the Triangle",TRUE,NA,NA,"https://activategood.org/opportunity/4313#tab-what"
"01/02/19",8,"NC Therapeutic Riding Center",TRUE,NA,NA,"https://activategood.org/opportunity/4315#tab-what"
"01/02/19",9,"Free Food Fridays at Salvation Army",TRUE,NA,NA,"https://activategood.org/opportunity/3963#tab-what"
"01/02/19",10,"First Friday Fun at ArtSpace",TRUE,NA,NA,"https://activategood.org/opportunity/3985#tab-what"
"01/02/19",11,"Distribute firewood with Warmth for Wake",TRUE,NA,NA,"https://activategood.org/opportunity/432#tab-what"
"01/02/19",12,"Deliver Grocery Bags to Seniors in Durham",TRUE,NA,NA,"https://activategood.org/opportunity/4304#tab-what"
"01/02/19",13,"Activate Good",FALSE,NA,NA,"https://activategood.org/"
"01/02/19",14,"Support our work and help our impact grow",FALSE,NA,NA,"https://activategood.org/donate"
"01/02/19",15,"",FALSE,NA,NA,"https://www.facebook.com/activategood/"
"01/02/19",16,"",FALSE,NA,NA,"https://twitter.com/activategood"
"01/02/19",17,"",FALSE,NA,NA,"https://www.instagram.com/activategood/"
"02/01/19",1,"",FALSE,NA,NA,"https://activategood.org/"
"02/01/19",2,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"02/01/19",3,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"02/01/19",4,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"02/01/19",5,"Teens Change the World! Summer Program",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"02/01/19",6,"Registrations Now Open",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"02/01/19",7,"Donate here",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/support/"
"02/01/19",8,"Cabinet Sales with Habitat Restore",TRUE,NA,NA,"https://activategood.org/opportunity/4375#tab-what"
"02/01/19",9,"After School Art Teacher",TRUE,NA,NA,"https://activategood.org/opportunity/4357#tab-details"
"02/01/19",10,"Ultimate Frisbee Coach",TRUE,NA,NA,"https://activategood.org/opportunity/4330#tab-what"
"02/01/19",11,"Help Durham Teachers get free School Supplies!",TRUE,NA,NA,"https://activategood.org/opportunity/4374#tab-details"
"02/01/19",12,"Backpack Buddies Packers",TRUE,NA,NA,"https://activategood.org/opportunity/4365#tab-what"
"02/01/19",13,"Communities in Schools Tutor",TRUE,NA,NA,"https://activategood.org/opportunity/4340#tab-details"
"02/01/19",14,"Childcare at Families Moving Forward",TRUE,NA,NA,"https://activategood.org/opportunity/4380#tab-what"
"02/01/19",15,"NC Art Museum Park Workday",TRUE,NA,NA,"https://activategood.org/opportunity/4372#tab-shifts"
"02/01/19",16,"Workday at the Durham Hub Farm",TRUE,NA,NA,"https://activategood.org/opportunity/4343#tab-what"
"02/01/19",17,"Activate Good",FALSE,NA,NA,"https://activategood.org/"
"02/01/19",18,"Support our work and help our impact grow",FALSE,NA,NA,"https://activategood.org/donate"
"02/01/19",19,"",FALSE,NA,NA,"https://www.facebook.com/activategood/"
"02/01/19",20,"",FALSE,NA,NA,"https://twitter.com/activategood"
"02/01/19",21,"",FALSE,NA,NA,"https://www.instagram.com/activategood/"
"03/04/19",1,"",FALSE,NA,NA,"https://activategood.org/"
"03/04/19",2,"",FALSE,NA,NA,"https://activategood.org/nvw2019"
"03/04/19",3,"National Volunteer Week",TRUE,NA,NA,"https://activategood.org/nvw2019"
"03/04/19",4,"View Current Volunteer Needs and Sign Up",FALSE,NA,NA,"https://activategood.org/nvw2019"
"03/04/19",5,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"03/04/19",6,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"03/04/19",7,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"03/04/19",8,"Teens Change the World! Summer Program",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"03/04/19",9,"Learn More and Register Here",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"03/04/19",10,"Donate here",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/support/"
"03/04/19",11,"Medical Interpreter",TRUE,NA,NA,"https://activategood.org/opportunity/2327#tab-what"
"03/04/19",12,"Pro-Bono Attorne",TRUE,NA,NA,"https://activategood.org/opportunity/4054#tab-what"
"03/04/19",13,"Robotics Demo and Clinic",TRUE,NA,NA,"https://activategood.org/opportunity/2656#tab-what"
"03/04/19",14,"Silent Auction Assistance",TRUE,NA,NA,"https://activategood.org/opportunity/4218#tab-what"
"03/04/19",15,"Backpack Buddies Packers",TRUE,NA,NA,"https://activategood.org/opportunity/4365#tab-what"
"03/04/19",16,"Community Service at the Farm",TRUE,NA,NA,"https://activategood.org/opportunity/3329#tab-what"
"03/04/19",17,"Tree Giveaway at NC Museum of Natural Sciences",TRUE,NA,NA,"https://activategood.org/opportunity/2447#tab-details"
"03/04/19",18,"Raleigh St. Patrick's Day Parade",TRUE,NA,NA,"https://activategood.org/opportunity/4408#tab-what"
"03/04/19",19,"Trail Days at Ledge Creek",TRUE,NA,NA,"https://activategood.org/opportunity/4405#tab-what"
"03/04/19",20,"Activate Good",FALSE,NA,NA,"https://activategood.org/"
"03/04/19",21,"Support our work and help our impact grow",FALSE,NA,NA,"https://activategood.org/donate"
"03/04/19",22,"",FALSE,NA,NA,"https://www.facebook.com/activategood/"
"03/04/19",23,"",FALSE,NA,NA,"https://twitter.com/activategood"
"03/04/19",24,"",FALSE,NA,NA,"https://www.instagram.com/activategood/"
"04/03/19",1,"",FALSE,NA,NA,"https://activategood.org/"
"04/03/19",2,"",FALSE,NA,NA,"https://activategood.org/nvw2019"
"04/03/19",3,"National Volunteer Week",TRUE,NA,NA,"https://activategood.org/nvw2019"
"04/03/19",4,"View Current Volunteer Needs and Sign Up",FALSE,NA,NA,"https://activategood.org/nvw2019"
"04/03/19",5,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"04/03/19",6,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"04/03/19",7,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"04/03/19",8,"Teens Change the World! Summer Program",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"04/03/19",9,"Learn More and Register Here",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"04/03/19",10,"Donate here",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/support/"
"04/03/19",11,"Art Education Teaching Assistant",TRUE,NA,NA,"https://activategood.org/opportunity/614#tab-what"
"04/03/19",12,"Fundraising and Events Coordination",TRUE,NA,NA,"https://activategood.org/opportunity/4447#tab-what"
"04/03/19",13,"Join the Freedom United Board",TRUE,NA,NA,"https://activategood.org/opportunity/4273#tab-what"
"04/03/19",14,"Kitten Schmoozing at The Goathouse Refuge",TRUE,NA,NA,"https://activategood.org/opportunity/4505#tab-what"
"04/03/19",15,"Front Desk Greeter",TRUE,NA,NA,"https://activategood.org/opportunity/2544#tab-what"
"04/03/19",16,"Garden Days at Alliance Medical Ministry",TRUE,NA,NA,"https://activategood.org/nonprofit/262"
"04/03/19",17,"Beautify a Durham School",TRUE,NA,NA,"https://activategood.org/opportunity/4445#tab-what"
"04/03/19",18,"Volunteer at the Triangle Walk to End ALS",TRUE,NA,NA,"https://activategood.org/opportunity/3106#tab-what"
"04/03/19",19,"Sound the Alarm!",TRUE,NA,NA,"https://activategood.org/opportunity/4508"
"04/03/19",20,"Full Post Here",FALSE,NA,NA,"https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/"
"04/03/19",21,"Full Post Here",FALSE,NA,NA,"https://activategood.org/improve-your-health-by-volunteering/"
"04/03/19",22,"Activate Good",FALSE,NA,NA,"https://activategood.org/"
"04/03/19",23,"Support our work and help our impact grow",FALSE,NA,NA,"https://activategood.org/donate"
"04/03/19",24,"",FALSE,NA,NA,"https://www.facebook.com/activategood/"
"04/03/19",25,"",FALSE,NA,NA,"https://twitter.com/activategood"
"04/03/19",26,"",FALSE,NA,NA,"https://www.instagram.com/activategood/"
"05/01/19",1,"",FALSE,NA,NA,"https://activategood.org/"
"05/01/19",2,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"05/01/19",3,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"05/01/19",4,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"05/01/19",5,"Teens Change the World! Summer Program",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"05/01/19",6,"Learn More and Register Here",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"05/01/19",7,"Donate here",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/support/"
"05/01/19",8,"",FALSE,NA,NA,"https://activategood.org/cookbook/"
"05/01/19",9,"Learn More and Participate Here",FALSE,NA,NA,"https://activategood.org/cookbook/"
"05/01/19",10,"Event Photography",TRUE,NA,NA,"https://activategood.org/opportunity/4529#tab-what"
"05/01/19",11,"Fundraising and Events Coordination",TRUE,NA,NA,"https://activategood.org/opportunity/4447#tab-what"
"05/01/19",12,"Registered Dietition or Nutritionist",TRUE,NA,NA,"https://activategood.org/opportunity/4530#tab-shifts"
"05/01/19",13,"Therapeutic Horsebackriding",TRUE,NA,NA,"https://activategood.org/opportunity/4331#tab-shifts"
"05/01/19",14,"Garden Days at Alliance Medical Ministry",TRUE,NA,NA,"https://activategood.org/nonprofit/262"
"05/01/19",15,"Building Community",TRUE,NA,NA,"https://activategood.org/opportunity/4532#tab-what"
"05/01/19",16,"Artsplosure 2019",TRUE,NA,NA,"https://activategood.org/opportunity/4533#tab-what"
"05/01/19",17,"May the Fourth Be With You",TRUE,NA,NA,"https://activategood.org/opportunity/4539#tab-what"
"05/01/19",18,"Groceries for Seniors",TRUE,NA,NA,"https://activategood.org/opportunity/4544#tab-what"
"05/01/19",19,"Full Post Here",FALSE,NA,NA,"https://activategood.org/and-the-rest-was-history-a-volunteer-story/"
"05/01/19",20,"Full Post Here",FALSE,NA,NA,"https://activategood.org/passion-for-education-volunteer-story/"
"05/01/19",21,"Activate Good",FALSE,NA,NA,"https://activategood.org/"
"05/01/19",22,"Support our work and help our impact grow",FALSE,NA,NA,"https://activategood.org/donate"
"05/01/19",23,"",FALSE,NA,NA,"https://www.facebook.com/activategood/"
"05/01/19",24,"",FALSE,NA,NA,"https://twitter.com/activategood"
"05/01/19",25,"",FALSE,NA,NA,"https://www.instagram.com/activategood/"
"06/04/19",1,"",FALSE,NA,NA,"https://activategood.org/"
"06/04/19",2,"schedule",FALSE,NA,NA,"https://activategood.org/wp-content/uploads/2019/05/TeensChangeTheWorld-Week12019.pdf"
"06/04/19",3,"schedule",FALSE,NA,NA,"https://activategood.org/wp-content/uploads/2019/05/TeensChangeTheWorld-Week22019.pdf"
"06/04/19",4,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"06/04/19",5,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"06/04/19",6,"",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"06/04/19",7,"Teens Change the World! Summer Program",TRUE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"06/04/19",8,"Learn More and Register Here",FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/"
"06/04/19",9,"",FALSE,NA,NA,"https://activategood.org/911day2019-grouppreregistration/"
