"date","link_num","words_in_link","is_image","bolded","font_size","font_color","address","dup"
"01/02/19",1,"",TRUE,FALSE,NA,NA,"https://activategood.org/",TRUE
"01/02/19",3,"activategood.org",FALSE,TRUE,24,"(0, 136, 168)","https://activategood.org/opportunity",FALSE
"01/02/19",4,"Grant Writer and Researcher",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4291#tab-what",FALSE
"01/02/19",5,"Basketball and Tennis Instructors",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4249",FALSE
"01/02/19",6,"Use your Legal Knowledge for Good",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4054#tab-what",FALSE
"01/02/19",7,"Miracle League of the Triangle",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4313#tab-what",FALSE
"01/02/19",8,"NC Therapeutic Riding Center",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4315#tab-what",FALSE
"01/02/19",9,"Free Food Fridays at Salvation Army",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/3963#tab-what",FALSE
"01/02/19",10,"First Friday Fun at ArtSpace",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/3985#tab-what",FALSE
"01/02/19",11,"Distribute firewood with Warmth for Wake",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/432#tab-what",FALSE
"01/02/19",12,"Deliver Grocery Bags to Seniors in Durham",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4304#tab-what",FALSE
"01/02/19",14,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)","https://activategood.org/donate",FALSE
"01/02/19",15,"",TRUE,FALSE,NA,NA,"https://www.facebook.com/activategood/",FALSE
"01/02/19",16,"",TRUE,FALSE,NA,NA,"https://twitter.com/activategood",FALSE
"01/02/19",17,"",TRUE,FALSE,NA,NA,"https://www.instagram.com/activategood/",FALSE
"02/01/19",1,"",TRUE,FALSE,NA,NA,"https://activategood.org/",TRUE
"02/01/19",2,"",TRUE,FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/",TRUE
"02/01/19",7,"Donate here",FALSE,TRUE,18,"(255, 255, 255)","https://activategood.org/teenschangetheworld2019/support/",FALSE
"02/01/19",8,"Cabinet Sales with Habitat Restore",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4375#tab-what",FALSE
"02/01/19",9,"After School Art Teacher",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4357#tab-details",FALSE
"02/01/19",10,"Ultimate Frisbee Coach",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4330#tab-what",FALSE
"02/01/19",11,"Help Durham Teachers get free School Supplies!",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4374#tab-details",FALSE
"02/01/19",12,"Backpack Buddies Packers",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4365#tab-what",FALSE
"02/01/19",13,"Communities in Schools Tutor",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4340#tab-details",FALSE
"02/01/19",14,"Childcare at Families Moving Forward",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4380#tab-what",FALSE
"02/01/19",15,"NC Art Museum Park Workday",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4372#tab-shifts",FALSE
"02/01/19",16,"Workday at the Durham Hub Farm",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4343#tab-what",FALSE
"02/01/19",18,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)","https://activategood.org/donate",FALSE
"02/01/19",19,"",TRUE,FALSE,NA,NA,"https://www.facebook.com/activategood/",FALSE
"02/01/19",20,"",TRUE,FALSE,NA,NA,"https://twitter.com/activategood",FALSE
"02/01/19",21,"",TRUE,FALSE,NA,NA,"https://www.instagram.com/activategood/",FALSE
"03/04/19",1,"",TRUE,FALSE,NA,NA,"https://activategood.org/",TRUE
"03/04/19",2,"",TRUE,FALSE,NA,NA,"https://activategood.org/nvw2019",TRUE
"03/04/19",5,"",TRUE,FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/",TRUE
"03/04/19",10,"Donate here",FALSE,TRUE,18,"(255, 255, 255)","https://activategood.org/teenschangetheworld2019/support/",FALSE
"03/04/19",11,"Medical Interpreter",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/2327#tab-what",FALSE
"03/04/19",12,"Pro-Bono Attorne",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4054#tab-what",FALSE
"03/04/19",13,"Robotics Demo and Clinic",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/2656#tab-what",FALSE
"03/04/19",14,"Silent Auction Assistance",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4218#tab-what",FALSE
"03/04/19",15,"Backpack Buddies Packers",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4365#tab-what",FALSE
"03/04/19",16,"Community Service at the Farm",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/3329#tab-what",FALSE
"03/04/19",17,"Tree Giveaway at NC Museum of Natural Sciences",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/2447#tab-details",FALSE
"03/04/19",18,"Raleigh St. Patrick's Day Parade",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4408#tab-what",FALSE
"03/04/19",19,"Trail Days at Ledge Creek",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4405#tab-what",FALSE
"03/04/19",21,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)","https://activategood.org/donate",FALSE
"03/04/19",22,"",TRUE,FALSE,NA,NA,"https://www.facebook.com/activategood/",FALSE
"03/04/19",23,"",TRUE,FALSE,NA,NA,"https://twitter.com/activategood",FALSE
"03/04/19",24,"",TRUE,FALSE,NA,NA,"https://www.instagram.com/activategood/",FALSE
"04/03/19",1,"",TRUE,FALSE,NA,NA,"https://activategood.org/",TRUE
"04/03/19",2,"",TRUE,FALSE,NA,NA,"https://activategood.org/nvw2019",TRUE
"04/03/19",5,"",TRUE,FALSE,NA,NA,"https://activategood.org/teenschangetheworld2019/",TRUE
"04/03/19",10,"Donate here",FALSE,TRUE,18,"(255, 255, 255)","https://activategood.org/teenschangetheworld2019/support/",FALSE
"04/03/19",11,"Art Education Teaching Assistant",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/614#tab-what",FALSE
"04/03/19",12,"Fundraising and Events Coordination",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4447#tab-what",FALSE
"04/03/19",13,"Join the Freedom United Board",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4273#tab-what",FALSE
"04/03/19",14,"Kitten Schmoozing at The Goathouse Refuge",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4505#tab-what",FALSE
"04/03/19",15,"Front Desk Greeter",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/2544#tab-what",FALSE
"04/03/19",16,"Garden Days at Alliance Medical Ministry",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/nonprofit/262",FALSE
