"date","address","link_num","words_in_link","is_image","bolded","font_size","font_color","dup","dup_after_first","image_assoc","date_sent","clicks"
"01/02/19","https://activategood.org/",1,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"01/02/19 07:03:48",7
"01/02/19","https://activategood.org/",13,"Activate Good",FALSE,FALSE,21,"(89, 89, 89)",TRUE,TRUE,TRUE,"01/02/19 07:03:48",7
"01/02/19","https://activategood.org/",2,"",TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"01/02/19 07:03:48",7
"01/02/19","https://activategood.org/donate",14,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",1
"01/02/19","https://activategood.org/opportunity",3,"activategood.org",FALSE,TRUE,24,"(0, 136, 168)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",41
"01/02/19","https://activategood.org/opportunity/3963#tab-what",9,"Free Food Fridays at Salvation Army",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",21
"01/02/19","https://activategood.org/opportunity/3985#tab-what",10,"First Friday Fun at ArtSpace",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",37
"01/02/19","https://activategood.org/opportunity/4054#tab-what",6,"Use your Legal Knowledge for Good",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",4
"01/02/19","https://activategood.org/opportunity/4249",5,"Basketball and Tennis Instructors",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",12
"01/02/19","https://activategood.org/opportunity/4291#tab-what",4,"Grant Writer and Researcher",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",22
"01/02/19","https://activategood.org/opportunity/4304#tab-what",12,"Deliver Grocery Bags to Seniors in Durham",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",25
"01/02/19","https://activategood.org/opportunity/4313#tab-what",7,"Miracle League of the Triangle",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",10
"01/02/19","https://activategood.org/opportunity/4315#tab-what",8,"NC Therapeutic Riding Center",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",33
"01/02/19","https://activategood.org/opportunity/432#tab-what",11,"Distribute firewood with Warmth for Wake",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/02/19 07:03:48",22
"01/02/19","https://twitter.com/activategood",16,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/02/19 07:03:48",1
"01/02/19","https://www.facebook.com/activategood/",15,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/02/19 07:03:48",1
"01/02/19","https://www.instagram.com/activategood/",17,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/02/19 07:03:48",1
"01/02/19","https://activategood.org/opportunity/4313",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/19 07:03:48",1
"01/03/20","https://activategood.org/",1,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"01/03/20 07:50:15",23
"01/03/20","https://activategood.org/",21,"Activate Good",FALSE,FALSE,21,"(89, 89, 89)",TRUE,TRUE,TRUE,"01/03/20 07:50:15",23
"01/03/20","https://activategood.org/donate",22,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",20
"01/03/20","https://activategood.org/kindness-cards/",6,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"01/03/20 07:50:15",50
"01/03/20","https://activategood.org/kindness-cards/",10,"here",FALSE,TRUE,15,"(85, 142, 190)",TRUE,TRUE,TRUE,"01/03/20 07:50:15",50
"01/03/20","https://activategood.org/kindness-cards/",7,"Kindness Cards",FALSE,TRUE,16,"(85, 142, 190)",TRUE,TRUE,TRUE,"01/03/20 07:50:15",50
"01/03/20","https://activategood.org/mlkday2020",2,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"01/03/20 07:50:15",52
"01/03/20","https://activategood.org/mlkday2020",3,"Martin Luther King Jr.",FALSE,TRUE,18,"(85, 142, 190)",TRUE,TRUE,TRUE,"01/03/20 07:50:15",52
"01/03/20","https://activategood.org/mlkday2020",4,"Day of Service 2020",FALSE,TRUE,18,"(85, 142, 190)",TRUE,TRUE,TRUE,"01/03/20 07:50:15",52
"01/03/20","https://activategood.org/MLKday2020",5,"here",FALSE,TRUE,15,"(85, 142, 190)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",81
"01/03/20","https://activategood.org/opportunity",20,"View all current opportunities to make an impact",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",38
"01/03/20","https://activategood.org/opportunity/4823#tab-what",12,"Housing Advisor",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",30
"01/03/20","https://activategood.org/opportunity/4839#tab-what",19,"Garden Days",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",27
"01/03/20","https://activategood.org/opportunity/4848#tab-what",15,"Event Planning Committee",FALSE,TRUE,15,"(0, 109, 131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",21
"01/03/20","https://activategood.org/opportunity/4868#tab-what",14,"Power Hour Volunteers",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",34
"01/03/20","https://activategood.org/opportunity/4932#tab-details",11,"Festival Merchandiser",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",24
"01/03/20","https://activategood.org/opportunity/4948#tab-what",16,"Special Olympics Intern",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",20
"01/03/20","https://activategood.org/opportunity/4974#tab-what",17,"Trail Building",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",43
"01/03/20","https://activategood.org/opportunity/4980#tab-what",13,"Volunteer Bookkeeping",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",26
"01/03/20","https://activategood.org/opportunity/4981#tab-what",18,"Adoption Event Assistance",FALSE,TRUE,15,"(0, 109, 131)",FALSE,FALSE,FALSE,"01/03/20 07:50:15",46
"01/03/20","https://secure.lglforms.com/form_engine/s/RaaHgiLa83lgC03MgNOvGQ",8,"Support our work",FALSE,FALSE,15,"(127,127,127)",TRUE,FALSE,FALSE,"01/03/20 07:50:15",17
"01/03/20","https://secure.lglforms.com/form_engine/s/RaaHgiLa83lgC03MgNOvGQ",9,"$25 you donate",FALSE,FALSE,15,"(127,127,127)",TRUE,TRUE,FALSE,"01/03/20 07:50:15",17
"01/03/20","https://twitter.com/activategood",24,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/03/20 07:50:15",22
"01/03/20","https://www.facebook.com/activategood/",23,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/03/20 07:50:15",23
"01/03/20","https://www.instagram.com/activategood/",25,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/03/20 07:50:15",21
"01/03/20","http://https%3a%2f%2factivategood.org%2fkindness-cards%2f",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/03/20 07:50:15",2
"01/03/20","http://https%3a%2f%2factivategood.org%2fmlkday2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/03/20 07:50:15",1
"01/03/20","http://https%3a%2f%2factivategood.org%2fopportunity%2f4974%23tab-what",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/03/20 07:50:15",1
"01/31/20","http://www.thegoodhub.org/",3,"our Good Hub site",FALSE,TRUE,15,"(85, 142, 190)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",63
"01/31/20","https://activategood.org/",19,"Activate Good",FALSE,FALSE,21,"(89, 89, 89)",TRUE,TRUE,TRUE,"01/31/20 06:51:12",28
"01/31/20","https://activategood.org/",1,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"01/31/20 06:51:12",28
"01/31/20","https://activategood.org/donate",20,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",18
"01/31/20","https://activategood.org/opportunity",18,"View all current opportunities to make an impact",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",33
"01/31/20","https://activategood.org/opportunity/4948#tab-what",12,"Special Olympics Intern",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",21
"01/31/20","https://activategood.org/opportunity/4977#tab-what",10,"Grantwriting",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",23
"01/31/20","https://activategood.org/opportunity/4987#tab-what",15,"Garden Day",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",30
"01/31/20","https://activategood.org/opportunity/4990#tab-what",11,"Program Data Evaluation",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",21
