link_num,string,link,date,cat
3,This National Volunteer Week April 713,https://activategood.org/nvw2019,4/3/19,Volunteer
4,View Current Volunteer Needs Sign Up,https://activategood.org/nvw2019,4/3/19,Volunteer
8,The Teens Change World Summer Program,https://activategood.org/teenschangetheworld2019/,4/3/19,Teens
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,4/3/19,None
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,4/3/19,Art
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,4/3/19,None
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,4/3/19,None
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,4/3/19,Animals
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,4/3/19,None
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,4/3/19,Garden
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,4/3/19,Other
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,4/3/19,ALS
19,Sound Alarm,https://activategood.org/opportunity/4508,4/3/19,None
21,Full Post Here,https://activategood.org/improve-your-health-by-volunteering/,4/3/19,None
22,Activate Good,https://activategood.org/,4/3/19,None
23,Support,https://activategood.org/donate,4/3/19,None
2,SmART Summer Supply Drive,https://activategood.org/smart/,6/10/20,Art
3,Check Wish List Drop,https://activategood.org/wp-content/uploads/2020/05/SmARTSummerSupplyDrive-WishListFINAL.pdf,6/10/20,None
4,Or Amazon Wish List,https://www.amazon.com/hz/wishlist/ls/H6EEWIVCSYZ3/ref=hz_ls_biz_ex,6/10/20,Other
5,Help Spread Word Share Amazon Wish List,https://www.amazon.com/gp/registry/wishlist/H6EEWIVCSYZ3/ref=cm_wl_huc_view,6/10/20,Other
6,Supply Wish List,https://activategood.org/wp-content/uploads/2020/05/SmARTSummerSupplyDrive-WishListFINAL.pdf,6/10/20,Other
8,Research Triangle Cause Wiki,https://activategood.org/trianglecausewiki/,6/10/20,None
9,Spanish Medical Translation,https://activategood.org/opportunity/2327,6/10/20,Languages
11,RSVP Zoom,https://us02web.zoom.us/meeting/register/tZ0rf-6upzssGtKgVMkznkdR1nZKg9aa9DVN,6/10/20,None
12,Read,https://activategood.org/black-led-triangle-nonprofits/,6/10/20,None
14,Groups Companies Complete,https://docs.google.com/forms/d/e/1FAIpQLSdt7CbAHESSoCWm_j3eKBO7KfJGKDNXcpqBNRoPawh9P8GH9Q/viewform?usp=sf_link,6/10/20,None
16,Donate Support PeoplePowered Projects Good,https://activategood.org/donate,6/10/20,None
3,Martin Luther King Jr,https://activategood.org/mlkday2020,1/3/20,MLK
4,Day Service 2020,https://activategood.org/mlkday2020,1/3/20,Other
5,Check,https://activategood.org/MLKday2020,1/3/20,None
7,Introducing Kindness Cards,https://activategood.org/kindness-cards/,1/3/20,Other
8,Support Kindness,https://secure.lglforms.com/form_engine/s/RaaHgiLa83lgC03MgNOvGQ,1/3/20,None
9,Card For 25 January 3 January 30,https://secure.lglforms.com/form_engine/s/RaaHgiLa83lgC03MgNOvGQ,1/3/20,Other
11,Festival Merchandiser,https://activategood.org/opportunity/4932#tab-details,1/3/20,None
12,Housing Advisor,https://activategood.org/opportunity/4823#tab-what,1/3/20,None
13,Volunteer Bookkeeping,https://activategood.org/opportunity/4980#tab-what,1/3/20,Volunteer
14,Power Hour Volunteers,https://activategood.org/opportunity/4868#tab-what,1/3/20,Volunteer
15,Event Planning Committee,https://activategood.org/opportunity/4848#tab-what,1/3/20,None
16,Special Olympics Intern,https://activategood.org/opportunity/4948#tab-what,1/3/20,None
17,Trail Building,https://activategood.org/opportunity/4974#tab-what,1/3/20,Other
18,Adoption Event Assistance,https://activategood.org/opportunity/4981#tab-what,1/3/20,Animals
19,Garden Days,https://activategood.org/opportunity/4839#tab-what,1/3/20,Garden
21,Activate Good,https://activategood.org/,1/3/20,None
22,Support,https://activategood.org/donate,1/3/20,None
2,Family Volunteer Day,https://activategood.org/familyvolunteerday2020/,10/28/20,Family
4,Learn,https://activategood.org/familyvolunteerday2020/,10/28/20,None
5,Learn More Family Volunteer Day 2020,https://activategood.org/familyvolunteerday2020/,10/28/20,Family
6,VOTE,https://wral5.secondstreetapp.com/2020-WRAL-Voters-Choice-Awards/gallery/?group=357635,10/28/20,None
7,Activate Good Best Volunteer Organization,https://wral5.secondstreetapp.com/2020-WRAL-Voters-Choice-Awards/gallery/?group=357635,10/28/20,Volunteer
9,1 Click HERE,https://wral5.secondstreetapp.com/2020-WRAL-Voters-Choice-Awards/gallery?group=357635,10/28/20,None
12,RSVP Community Town Hall November 4,https://us02web.zoom.us/meeting/register/tZElc-usrzouHd1goUtPKYkEDgKaHQAXz45_,10/28/20,None
13,Hunger Homelessness Awareness Week,https://activategood.org/hunger-homelessness-week-2020/,10/28/20,Hunger
15,Hunger Homelessness Awareness Week November 1522,https://hhweek.org/,10/28/20,Hunger
16,Join,https://activategood.org/hunger-homelessness-week-2020/,10/28/20,None
17,Thanksgiving,https://activategood.org/opportunity/5355,10/28/20,Holiday
18,Bag,https://activategood.org/opportunity/5355,10/28/20,None
19,Sort Goods Good,https://activategood.org/opportunity/5357,10/28/20,None
21,Join Activate Good Raleigh Durham Food Bank,https://activategood.org/opportunity/5334,10/28/20,Hunger
23,See,https://activategood.org/opportunity,10/28/20,None
24,Learn The Giving Block,https://www.thegivingblock.com/contact,10/28/20,None
26,﻿Email Lee,mailto:Lee@activategood.org?subject=Newsletter Sponsor Inquiry,10/28/20,None
27,Support Our Work,https://activategood.org/donate,10/28/20,None
5,The Teens Change World Summer Program,https://activategood.org/teenschangetheworld2019/,5/1/19,Teens
6,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,5/1/19,None
7,Also Help Teens Change World Donate,https://activategood.org/teenschangetheworld2019/support/,5/1/19,Teens
9,Learn More Participate Here,https://activategood.org/cookbook/,5/1/19,None
11,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,5/1/19,None
12,Registered Dietition Nutritionist,https://activategood.org/opportunity/4530#tab-shifts,5/1/19,None
13,Therapeutic Horsebackriding,https://activategood.org/opportunity/4331#tab-shifts,5/1/19,Animals
14,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,5/1/19,Garden
15,Building Community,https://activategood.org/opportunity/4532#tab-what,5/1/19,Other
16,Artsplosure 2019,https://activategood.org/opportunity/4533#tab-what,5/1/19,Art
17,May Fourth Be With You,https://activategood.org/opportunity/4539#tab-what,5/1/19,Holiday
18,Groceries Seniors,https://activategood.org/opportunity/4544#tab-what,5/1/19,Seniors
19,Full Post Here,https://activategood.org/and-the-rest-was-history-a-volunteer-story/,5/1/19,None
21,Activate Good,https://activategood.org/,5/1/19,None
22,Support,https://activategood.org/donate,5/1/19,None
2,﻿Complete,https://docs.google.com/forms/d/e/1FAIpQLSdt7CbAHESSoCWm_j3eKBO7KfJGKDNXcpqBNRoPawh9P8GH9Q/viewform?usp=sf_link,6/24/20,None
4,Support Our Efforts,https://activategood.org/donate,6/24/20,None
5,June 27 Build Stage,https://activategood.org/opportunity/5186,6/24/20,None
6,Help CORRAL Riding Academy,https://corralriding.org/,6/24/20,Other
7,June 2627 Help Dress Success Shoppers,https://activategood.org/opportunity/5179,6/24/20,None
8,June 27 Paint Rocks Victory Garden,https://activategood.org/opportunity/5192,6/24/20,Veterns
9,Wildwoods Community Farm Victory Garden,http://wildwoodsfarmnc.com/,6/24/20,Veterns
12,RSVP,https://us02web.zoom.us/meeting/register/tZMld-yuqj0pGtKZI0gFaxYxxohQfK9LWcMQ,6/24/20,None
2,Part 2 Activate Good 45000,https://activategood.org/,9/23/20,None
6,Families And Schools Together,https://activategood.org/FAST,9/23/20,School
7,Learn,https://activategood.org/fast,9/23/20,None
8,﻿If HERE,https://youtu.be/OLWmf0eacOM,9/23/20,None
9,Our United We Help Virtual 911 Commemoration,https://www.youtube.com/watch?v=OLWmf0eacOM&t=1s&ab_channel=ActivateGood,9/23/20,9/11 M
11,Learn,https://attendedevents.com/,9/23/20,None
13,Support Our Efforts,https://activategood.org/donate,9/23/20,None
