link_num,string,link,date,date_sent,clicks
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9
19,Sound Alarm,https://activategood.org/opportunity/4508,04/03/19,04/03/19 13:45:34,3
9,Spanish Medical Translation,https://activategood.org/opportunity/2327,06/10/20,06/10/20 11:24:22,32
11,Festival Merchandiser,https://activategood.org/opportunity/4932#tab-details,01/03/20,01/03/20 07:50:15,24
12,Housing Advisor,https://activategood.org/opportunity/4823#tab-what,01/03/20,01/03/20 07:50:15,30
13,Volunteer Bookkeeping,https://activategood.org/opportunity/4980#tab-what,01/03/20,01/03/20 07:50:15,26
14,Power Hour Volunteers,https://activategood.org/opportunity/4868#tab-what,01/03/20,01/03/20 07:50:15,34
15,Event Planning Committee,https://activategood.org/opportunity/4848#tab-what,01/03/20,01/03/20 07:50:15,21
16,Special Olympics Intern,https://activategood.org/opportunity/4948#tab-what,01/03/20,01/03/20 07:50:15,20
17,Trail Building,https://activategood.org/opportunity/4974#tab-what,01/03/20,01/03/20 07:50:15,43
18,Adoption Event Assistance,https://activategood.org/opportunity/4981#tab-what,01/03/20,01/03/20 07:50:15,46
19,Garden Days,https://activategood.org/opportunity/4839#tab-what,01/03/20,01/03/20 07:50:15,27
17,Thanksgiving,https://activategood.org/opportunity/5355,10/28/20,10/28/20 07:50:41,33
18,Bag,https://activategood.org/opportunity/5355,10/28/20,10/28/20 07:50:41,33
19,Sort Goods Good,https://activategood.org/opportunity/5357,10/28/20,10/28/20 07:50:41,46
21,Join Activate Good Raleigh Durham Food Bank ,https://activategood.org/opportunity/5334,10/28/20,10/28/20 07:50:41,44
11,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,05/01/19,05/01/19 15:21:32,8
12,Registered Dietition Nutritionist,https://activategood.org/opportunity/4530#tab-shifts,05/01/19,05/01/19 15:21:32,5
13,Therapeutic Horsebackriding,https://activategood.org/opportunity/4331#tab-shifts,05/01/19,05/01/19 15:21:32,10
15,Building Community,https://activategood.org/opportunity/4532#tab-what,05/01/19,05/01/19 15:21:32,9
16,Artsplosure 2019,https://activategood.org/opportunity/4533#tab-what,05/01/19,05/01/19 15:21:32,7
17,May Fourth Be With You,https://activategood.org/opportunity/4539#tab-what,05/01/19,05/01/19 15:21:32,7
18,Groceries Seniors,https://activategood.org/opportunity/4544#tab-what,05/01/19,05/01/19 15:21:32,25
5,June 27 Build Stage,https://activategood.org/opportunity/5186,06/24/20,06/24/20 07:21:17,38
7,June 2627 Help Dress Success Shoppers,https://activategood.org/opportunity/5179,06/24/20,06/24/20 07:21:17,66
8,June 27 Paint Rocks Victory Garden,https://activategood.org/opportunity/5192,06/24/20,06/24/20 07:21:17,59
17,Help Sort Stock Distribute ,https://activategood.org/opportunity/5169,09/23/20,09/23/20 07:05:42,40
19,Virtual Give BOOST,https://activategood.org/opportunity/5233,09/23/20,09/23/20 07:05:42,22
4,Grant Writer Researcher,https://activategood.org/opportunity/4291#tab-what,01/02/19,01/02/19 07:03:48,22
5,Basketball Tennis Instructors,https://activategood.org/opportunity/4249,01/02/19,01/02/19 07:03:48,12
