word,wcount,total
Virtual,270,3342
Free,23,435
Good”,171,1130
Success,98,538
Use,41,394
Leader,169,1146
Donation,176,3472
Sponsor,15,375
Share,58,98
Let,229,3438
Pack,408,4284
Assemble,191,2341
Building,52,547
SALE﻿,34,2526
Handmade,53,1115
YMCA,13,147
Need,356,13894
Up,1388,6211
713,202,447
21,173,4971
For,228,2289
Month,62,2602
Photographer,33,376
It,251,4482
PreOrder,19,175
UP,349,2307
Here,358,8856
National,202,447
Park,17,175
Clinic,9,239
Distribute,62,1233
Grants,27,637
Tour,82,1483
20202021,19,404
Every,21,404
Cabinet,6,175
Partners,113,13052
Makeover,47,579
Merchandiser,46,815
Youth,21,404
Ledge,6,239
Do,624,11411
LAST,44,816
Skills,58,98
Registrations,56,1129
Kitten,13,208
Office,27,375
Theater,5,254
“Signs,171,1130
Horsebackriding,10,136
View,709,15126
SignsGood,87,2526
SOAR,4,658
29,68,2364
Open,56,1129
NEW,145,545
CALL,44,816
Triangle,464,15026
﻿Operation,158,1318
Silent,8,239
Service,327,4565
﻿Here,30,2683
2627,66,163
Sort,337,4859
130,16,1244
Teens,365,2907
Mail,109,2309
8,123,4860
Hero,45,711
Moving,12,175
Army,78,603
Program,321,2515
REGISTER,315,958
Translation,32,559
Projects,76,261
Shirt,19,175
June,228,920
Shoppers,66,163
County,8,399
Board,31,866
Portraits,60,134
Cause,84,604
Sale,106,3076
Invest,22,1235
Rocks,59,163
10,307,4179
Schmoozing,13,208
Group,118,776
Schools,163,2614
Christmas,49,1042
94,41,2683
Letters,175,2309
11,204,2236
Nutritionist,5,136
Live,8,147
Host,23,810
Speaker,30,545
Report,70,284
Trails,41,672
Bagging,37,889
Our,221,4909
Go,1587,18388
SIGN,66,254
Vote,24,214
Aug,389,4689
Coronavirus,140,284
Learning,87,1244
SmART,96,844
Brew,61,1675
Tiny,65,334
More,498,3201
School,207,3547
Patrick,13,239
Communities,8,175
World,246,1939
Restoration,5,254
Cards,337,5456
Details,466,817
Puppy,27,546
Pride,167,2999
Outreach,4,658
Plan,43,815
Info,24,600
If,312,5040
Hand,343,1660
Tin,147,1106
Durham,184,2718
iCan,17,224
Demo,9,239
Red,20,376
Prep,162,2089
NOW,66,254
Students,78,545
Nature,41,672
Auction,8,239
Parents,253,3330
Jr,52,411
Development,9,254
Give,67,1082
Donate,122,3580
Full,3,344
Freedom,2,208
Card,390,5456
1519,16,518
MLK,55,331
Pie,82,772
5K,16,376
Horses,59,527
Orders,95,2526
Pepper,30,287
Drop,155,578
August,92,2714
Over,49,1042
Duck,36,671
Art,101,1445
Week,523,3010
Riding,33,227
covid19,335,2357
Pre,275,2595
Website,38,543
Hunger﻿,79,1318
Parent,275,4459
Feed,295,1889
1522,30,889
Partnerships,37,167
Trail,90,1322
When,87,4441
Pocket,33,543
Carrboro,37,889
Sign,1585,8644
Review,71,1146
Angel,69,1042
With,7,136
Fundraising,82,883
Thru,40,250
Power,34,411
Business,9,254
Registered,5,136
1,1693,25211
Hub,132,1253
Baby,122,772
Festival,95,1414
Creek,6,239
Coordination,19,344
Bookkeeping,26,411
YOUR,68,2544
Refuge,13,208
Duper,36,671
Make,115,2888
HERE,1354,7481
2,1107,15319
Visit,31,2544
League,10,227
While,87,2526
There,13,2544
Summer,844,6452
Backpack,71,414
Hygiene,86,331
Mini,22,1101
Warmth,45,885
Preschoolers,75,331
Videos,29,843
May,7,136
Click,207,671
Parade,13,239
Goathouse,13,208
November,242,2240
Good,1449,17142
Nonprofits,78,532
Media,65,968
Initiatives,30,1785
Crosby,11,224
Planning,21,411
Luther,52,411
5,417,5140
﻿Signs,34,2526
Readers,58,167
Forward,12,175
House,156,710
FAST,93,2865
Project,471,3962
27,163,489
ACCESS,386,772
BACK,171,1130
Medical,49,1050
Food,483,5328
St,321,3961
Thanksgiving,70,889
Kindness,50,411
Refrigerator,23,817
Space,66,254
This,248,2148
Gardening,6,175
Houses,65,334
﻿Grab,85,334
Update,105,1143
Books,80,817
Alarm,3,208
Database,24,600
Paint,119,297
Part,295,13962
Shelters,109,1115
New,24,941
Social,84,1182
Raleigh,149,2172
Assistant,85,1762
Advisor,55,787
Education,14,754
Kids,213,1117
Goods,46,460
As,389,7444
We,1116,14368
Camp,34,600
Men,109,1115
Community,287,14306
Provide,49,1042
Walk,25,584
Spring,8,147
Data,45,975
Family,1023,6273
Book,146,1478
Hour,34,411
Evaluation,21,375
Restore,6,175
Opportunities,113,3415
Learn,1015,8312
Survey,3,175
Teachers,7,175
Thank,119,1551
Registration,122,1383
Tennis,12,227
Fun,135,1192
Courage,110,1621
Also,33,573
Repair,23,817
Partner,253,13336
Supplies,93,506
Package,86,331
﻿Read,67,258
See,1740,19795
Lunch,21,254
Download,70,284
Be,203,4114
Giveaway,18,239
Intern,82,1215
Bags,25,227
Access,42,626
Monthly,11,546
Hunger,836,6869
Adoption,57,957
15,133,2236
Hope,59,527
Bag,135,1366
Join,309,5186
Toys,104,2024
Wrap,62,426
Browse,200,12885
Fight,203,2792
Robotics,9,239
Grow,26,405
Theatre,16,224
History,33,375
TRLC,59,672
Coffee,61,1675
Teaching,14,607
Ministry,16,491
Day,1149,9966
Fridays,21,227
And,181,2966
Someone,53,1115
Together,155,2439
Register,270,1636
Drive,170,1731
DIY,267,4806
Desk,8,208
WCPSS,24,626
Note,33,543
Send,57,173
Draw,60,134
All,512,3093
Oak,145,545
Funding,48,134
United,310,5796
Ready,29,784
Packets,78,545
Find,48,134
UPS,66,254
Alliance,16,491
To,540,19288
Build,255,1716
Tutor,8,175
Deliver,237,2213
Orientation,5,175
Good’,179,1318
Admin,72,689
﻿Families,118,2439
Fest,133,1848
Series,117,1789
Writer,22,227
Wish,351,953
Martin,52,411
Raise,122,772
Fourth,7,136
Center,41,626
Diapers,62,426
Distribution,99,1231
Spanish,70,1543
20,530,9860
Clubs,34,637
Researcher,22,227
Special,41,786
InPerson,42,287
Campus,17,376
Warehouse,55,851
Academic,107,1388
BOOST,78,843
Saturday,182,1955
Buddies,71,414
79,30,2683
Your,58,98
Time,27,546
October,136,2101
Keep,96,2733
MORE,234,4037
Habitat,37,702
HALFWAY,17,2683
